design_id,material,pinion_teeth,gear_teeth,module_mm,face_width_mm,actual_ratio,ratio_error_percent,actual_output_rpm,speed_error_percent,pinion_pitch_diameter_mm,gear_pitch_diameter_mm,center_distance_mm,input_torque_nm,output_torque_nm,tangential_force_n,radial_force_n,normal_force_n,pinion_bending_stress_mpa,gear_bending_stress_mpa,gear_fos,input_shaft_diameter_mm,input_shaft_fos,output_shaft_diameter_mm,output_shaft_fos,bearing_span_mm,input_bearing,input_bearing_life_hours,output_bearing,output_bearing_life_hours,estimated_rotating_mass_kg
77,AISI 1045 Steel,19,166,2.5,30.0,8.736842105263158,0.15037593984962835,400.6024096385542,0.15060240963855165,47.5,415.0,231.25,13.641852265019601,115.61110798491873,717.9922244747158,261.327798143374,764.0713660965281,28.75298190540542,20.51212178929754,15.650550662204612,15,5.468177343538777,20,2.7777775081601224,120.0,6002,14997.98791878052,6204,1564780.100282945,33.16081070977903
78,AISI 1020 Steel,19,166,2.5,30.0,8.736842105263158,0.15037593984962835,400.6024096385542,0.15060240963855165,47.5,415.0,231.25,13.641852265019601,115.61110798491873,717.9922244747158,261.327798143374,764.0713660965281,28.75298190540542,20.51212178929754,12.172650515048032,15,4.253026822752382,20,2.160493617457873,120.0,6002,14997.98791878052,6204,1564780.100282945,33.2446038580842
79,AISI 4140 Steel,21,184,2.5,25.0,8.761904761904763,0.13605442176871715,399.4565217391304,0.1358695652174049,52.5,460.0,256.25,13.641852265019601,115.94275201241422,649.612012619981,236.43943641543365,691.3026645635255,29.924545686908914,22.189888904847937,21.88838577043269,15,9.54695727644413,17,2.4935900227171643,100.0,6002,20250.23561974434,6203,866234.2352643884,33.67333017049643
80,AISI 1045 Steel,21,184,2.5,25.0,8.761904761904763,0.13605442176871715,399.4565217391304,0.1358695652174049,52.5,460.0,256.25,13.641852265019601,115.94275201241422,649.612012619981,236.43943641543365,691.3026645635255,29.924545686908914,22.189888904847937,15.037822285030092,15,6.558978281526502,20,2.7895842877618,100.0,6002,20250.23561974434,6204,2118821.8212021375,33.851140107051116
81,AISI 1020 Steel,21,184,2.5,25.0,8.761904761904763,0.13605442176871715,399.4565217391304,0.1358695652174049,52.5,460.0,256.25,13.641852265019601,115.94275201241422,649.612012619981,236.43943641543365,691.3026645635255,29.924545686908914,22.189888904847937,11.69608399946785,15,5.101427552298391,20,2.1696766682591777,100.0,6002,20250.23561974434,6204,2118821.8212021375,33.93669205636844
82,AISI 4140 Steel,18,158,3.0,24.0,8.777777777777779,0.3174603174603265,398.73417721518985,0.31645569620253866,54.0,474.0,264.0,13.641852265019601,116.152793229828,631.5672344916483,229.87167429278276,672.0998127700942,27.02701277352141,18.830184084988712,24.23501278105396,15,9.923749419551253,17,2.4921441564862374,96.0,6002,22036.034823901846,6203,944332.1307184645,34.29754824539552
83,AISI 1045 Steel,18,158,3.0,24.0,8.777777777777779,0.3174603174603265,398.73417721518985,0.31645569620253866,54.0,474.0,264.0,13.641852265019601,116.152793229828,631.5672344916483,229.87167429278276,672.0998127700942,27.02701277352141,18.830184084988712,16.650008780876767,15,6.8178431126687995,20,2.7879667942350963,96.0,6002,22036.034823901846,6204,2309850.434874458,34.47262075519151
84,AISI 1020 Steel,18,158,3.0,24.0,8.777777777777779,0.3174603174603265,398.73417721518985,0.31645569620253866,54.0,474.0,264.0,13.641852265019601,116.152793229828,631.5672344916483,229.87167429278276,672.0998127700942,27.02701277352141,18.830184084988712,12.950006829570818,15,5.302766865409066,20,2.168418617738408,96.0,6002,22036.034823901846,6204,2309850.434874458,34.55975609469518
85,AISI 4140 Steel,24,210,2.5,20.0,8.75,0.0,400.0,0.0,60.0,525.0,292.5,13.641852265019601,115.78522109935386,568.4105110424833,206.88450686350447,604.8898314930848,31.195637468601873,24.17053909464848,20.996525576989782,15,11.368424920674277,17,2.508884255966358,80.0,6002,30227.756960084844,6203,1291280.8475990884,35.00082030735952
86,AISI 1045 Steel,24,210,2.5,20.0,8.75,0.0,400.0,0.0,60.0,525.0,292.5,13.641852265019601,115.78522109935386,568.4105110424833,206.88450686350447,604.8898314930848,31.195637468601873,24.17053909464848,14.425093907855576,15,7.810368266112099,20,2.8066939779581164,80.0,6002,30227.756960084844,6204,3158492.155829273,35.16494311012068
87,AISI 1020 Steel,24,210,2.5,20.0,8.75,0.0,400.0,0.0,60.0,525.0,292.5,13.641852265019601,115.78522109935386,568.4105110424833,206.88450686350447,604.8898314930848,31.195637468601873,24.17053909464848,11.21951748388767,15,6.074730873642744,20,2.182984205078535,80.0,6002,30227.756960084844,6204,3158492.155829273,35.25384232823564
88,AISI 4140 Steel,20,175,2.5,30.0,8.75,0.0,400.0,0.0,50.0,437.5,243.75,13.641852265019601,115.78522109935386,682.09261325098,248.26140823620534,725.8677977917017,26.70945132651904,19.449461455688052,24.523154444197417,15,8.248472501309193,17,2.483343999994306,120.0,6002,17492.91490745651,6203,747269.0090272505,36.562186260231734
89,AISI 4140 Steel,22,192,2.5,25.0,8.727272727272727,0.2597402597402671,401.0416666666667,0.2604166666666714,55.0,480.0,267.5,13.641852265019601,115.48448026532955,620.0841938645273,225.69218930564122,659.8798161742742,28.062437161264288,21.151909253501387,23.3408095040342,15,9.801937979883453,17,2.505387945990749,100.0,6002,23283.06974182461,6203,992031.6352983471,36.61248031154737
90,AISI 1045 Steel,20,175,2.5,30.0,8.75,0.0,400.0,0.0,50.0,437.5,243.75,13.641852265019601,115.78522109935386,682.09261325098,248.26140823620534,725.8677977917017,26.70945132651904,19.449461455688052,16.84796870212036,15,5.666889504716239,20,2.778122041065533,120.0,6002,17492.91490745651,6204,1827831.1086974961,36.75368333057995
91,AISI 1045 Steel,22,192,2.5,25.0,8.727272727272727,0.2597402597402671,401.0416666666667,0.2604166666666714,55.0,480.0,267.5,13.641852265019601,115.48448026532955,620.0841938645273,225.69218930564122,659.8798161742742,28.062437161264288,21.151909253501387,16.03567065162655,15,6.734155864042068,20,2.8027826487964465,100.0,6002,23283.06974182461,6204,2426524.132414871,36.79029024810206
92,AISI 1020 Steel,20,175,2.5,30.0,8.75,0.0,400.0,0.0,50.0,437.5,243.75,13.641852265019601,115.78522109935386,682.09261325098,248.26140823620534,725.8677977917017,26.70945132651904,19.449461455688052,13.103975657204726,15,4.407580725890408,20,2.1607615874954145,120.0,6002,17492.91490745651,6204,1827831.1086974961,36.846630294479525
